,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
92,2530837063, cooking simulator,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
184,2566300911,factory simulator [closed temporaily],The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
3,994732206,[update 14] blox fruits,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
66,2448558164,[ 20 hours!] lifting titans,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
98,2387288336,[read desc pls] basically fnf,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
83,943733974,  week iv     bitcoin miner [beta],The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
102,1691616425,[ code] my hero mania,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
37,2577800301,  weight lifting simulator,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
131,2587756913,cart ride into toilet!,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
29,1278035280,warrior cats: ultimate edition,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
73,2404080894,[kou] funky friday,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
34,1686885941,brookhaven  rp,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
138,2439513265,dream island  tycoon,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
153,2455935718,food magnet simulator,How To Script On Roblox 2021 - Episode 1 (Properties),93535,4231,1049,https://i.ytimg.com/vi/aX0Kw_txrIY/default.jpg,https://www.youtube.com/watch?v=aX0Kw_txrIY,2021-03-05
